,density,env,Run,BurnedOut,height,width
389,0.04,0.09,389,0.017994858611825194,100,100
390,0.04,0.091,390,0.018666666666666668,100,100
391,0.04,0.092,391,0.02528735632183908,100,100
392,0.04,0.093,392,0.014319809069212411,100,100
393,0.04,0.094,393,0.025056947608200455,100,100
394,0.04,0.095,394,0.0364963503649635,100,100
395,0.04,0.096,395,0.026252983293556086,100,100
396,0.04,0.097,396,0.018617021276595744,100,100
397,0.04,0.098,397,0.022613065326633167,100,100
398,0.04,0.099,398,0.02696078431372549,100,100
399,0.04,0.1,399,0.03864734299516908,100,100
400,0.05,0.001,400,0.0,100,100
401,0.05,0.002,401,0.00404040404040404,100,100
402,0.05,0.003,402,0.0,100,100
403,0.05,0.004,403,0.0021413276231263384,100,100
404,0.05,0.005,404,0.0,100,100
405,0.05,0.006,405,0.0020408163265306124,100,100
406,0.05,0.007,406,0.0,100,100
407,0.05,0.008,407,0.0018450184501845018,100,100
408,0.05,0.009000000000000001,408,0.0021598272138228943,100,100
409,0.05,0.01,409,0.002150537634408602,100,100
410,0.05,0.011,410,0.002053388090349076,100,100
411,0.05,0.012,411,0.002053388090349076,100,100
412,0.05,0.013000000000000001,412,0.0022935779816513763,100,100
413,0.05,0.014,413,0.0041753653444676405,100,100
414,0.05,0.015,414,0.0,100,100
415,0.05,0.016,415,0.00625,100,100
416,0.05,0.017,416,0.004149377593360996,100,100
417,0.05,0.018000000000000002,417,0.0019723865877712033,100,100
418,0.05,0.019,418,0.004149377593360996,100,100
419,0.05,0.02,419,0.0019723865877712033,100,100
420,0.05,0.021,420,0.011516314779270634,100,100
421,0.05,0.022,421,0.0150093808630394,100,100
422,0.05,0.023,422,0.005681818181818182,100,100
423,0.05,0.024,423,0.004132231404958678,100,100
424,0.05,0.025,424,0.008438818565400843,100,100
425,0.05,0.026000000000000002,425,0.008771929824561403,100,100
426,0.05,0.027,426,0.020703933747412008,100,100
427,0.05,0.028,427,0.0,100,100
428,0.05,0.029,428,0.0037313432835820895,100,100
429,0.05,0.03,429,0.007707129094412331,100,100
430,0.05,0.031,430,0.012448132780082987,100,100
431,0.05,0.032,431,0.012072434607645875,100,100
432,0.05,0.033,432,0.009596928982725527,100,100
433,0.05,0.034,433,0.006048387096774193,100,100
434,0.05,0.035,434,0.00404040404040404,100,100
435,0.05,0.036000000000000004,435,0.0099601593625498,100,100
436,0.05,0.037,436,0.025,100,100
437,0.05,0.038,437,0.004048582995951417,100,100
438,0.05,0.039,438,0.01694915254237288,100,100
439,0.05,0.04,439,0.01744186046511628,100,100
440,0.05,0.041,440,0.007889546351084813,100,100
441,0.05,0.042,441,0.023157894736842106,100,100
442,0.05,0.043000000000000003,442,0.019569471624266144,100,100
443,0.05,0.044,443,0.007352941176470588,100,100
444,0.05,0.045,444,0.013779527559055118,100,100
445,0.05,0.046,445,0.010309278350515464,100,100
446,0.05,0.047,446,0.008316008316008316,100,100
447,0.05,0.048,447,0.008247422680412371,100,100
448,0.05,0.049,448,0.018633540372670808,100,100
449,0.05,0.05,449,0.010309278350515464,100,100
450,0.05,0.051000000000000004,450,0.011787819253438114,100,100
451,0.05,0.052000000000000005,451,0.01509433962264151,100,100
452,0.05,0.053,452,0.013592233009708738,100,100
453,0.05,0.054,453,0.02,100,100
454,0.05,0.055,454,0.017928286852589643,100,100
455,0.05,0.056,455,0.020833333333333332,100,100
456,0.05,0.057,456,0.014736842105263158,100,100
457,0.05,0.058,457,0.026871401151631478,100,100
458,0.05,0.059000000000000004,458,0.0075046904315197,100,100
459,0.05,0.06,459,0.018108651911468814,100,100
460,0.05,0.061,460,0.016985138004246284,100,100
461,0.05,0.062,461,0.015625,100,100
462,0.05,0.063,462,0.015717092337917484,100,100
463,0.05,0.064,463,0.019148936170212766,100,100
464,0.05,0.065,464,0.01417004048582996,100,100
465,0.05,0.066,465,0.02480916030534351,100,100
466,0.05,0.067,466,0.02186878727634195,100,100
467,0.05,0.068,467,0.01859504132231405,100,100
468,0.05,0.069,468,0.003937007874015748,100,100
469,0.05,0.07,469,0.02040816326530612,100,100
470,0.05,0.07100000000000001,470,0.015444015444015444,100,100
471,0.05,0.07200000000000001,471,0.025052192066805846,100,100
472,0.05,0.073,472,0.021825396825396824,100,100
473,0.05,0.074,473,0.019646365422396856,100,100
474,0.05,0.075,474,0.028680688336520075,100,100
475,0.05,0.076,475,0.017543859649122806,100,100
476,0.05,0.077,476,0.017578125,100,100
477,0.05,0.078,477,0.02434077079107505,100,100
478,0.05,0.079,478,0.022964509394572025,100,100
479,0.05,0.08,479,0.029850746268656716,100,100
480,0.05,0.081,480,0.026422764227642278,100,100
481,0.05,0.082,481,0.04150943396226415,100,100
482,0.05,0.083,482,0.0273972602739726,100,100
483,0.05,0.084,483,0.022,100,100
484,0.05,0.085,484,0.024439918533604887,100,100
485,0.05,0.08600000000000001,485,0.018789144050104383,100,100
486,0.05,0.08700000000000001,486,0.04564315352697095,100,100
487,0.05,0.088,487,0.01744186046511628,100,100
488,0.05,0.089,488,0.03543307086614173,100,100
489,0.05,0.09,489,0.016129032258064516,100,100
490,0.05,0.091,490,0.024714828897338403,100,100
491,0.05,0.092,491,0.03592814371257485,100,100
492,0.05,0.093,492,0.031007751937984496,100,100
493,0.05,0.094,493,0.029013539651837523,100,100
494,0.05,0.095,494,0.029296875,100,100
495,0.05,0.096,495,0.037383177570093455,100,100
496,0.05,0.097,496,0.037549407114624504,100,100
497,0.05,0.098,497,0.030245746691871456,100,100
498,0.05,0.099,498,0.02389705882352941,100,100
499,0.05,0.1,499,0.026415094339622643,100,100
500,0.06,0.001,500,0.0,100,100
501,0.06,0.002,501,0.0,100,100
502,0.06,0.003,502,0.0,100,100
503,0.06,0.004,503,0.004658385093167702,100,100
504,0.06,0.005,504,0.0,100,100
505,0.06,0.006,505,0.005016722408026756,100,100
506,0.06,0.007,506,0.0033783783783783786,100,100
507,0.06,0.008,507,0.0,100,100
508,0.06,0.009000000000000001,508,0.0,100,100
509,0.06,0.01,509,0.0032258064516129032,100,100
510,0.06,0.011,510,0.0016722408026755853,100,100
511,0.06,0.012,511,0.00530035335689046,100,100
512,0.06,0.013000000000000001,512,0.003418803418803419,100,100
513,0.06,0.014,513,0.004761904761904762,100,100
514,0.06,0.015,514,0.00686106346483705,100,100
515,0.06,0.016,515,0.005076142131979695,100,100
516,0.06,0.017,516,0.012389380530973451,100,100
517,0.06,0.018000000000000002,517,0.005136986301369863,100,100
518,0.06,0.019,518,0.006688963210702341,100,100
519,0.06,0.02,519,0.004991680532445923,100,100
520,0.06,0.021,520,0.0016891891891891893,100,100
521,0.06,0.022,521,0.006993006993006993,100,100
522,0.06,0.023,522,0.013582342954159592,100,100
523,0.06,0.024,523,0.007936507936507936,100,100
524,0.06,0.025,524,0.004665629860031105,100,100
525,0.06,0.026000000000000002,525,0.011308562197092083,100,100
526,0.06,0.027,526,0.01353637901861252,100,100
527,0.06,0.028,527,0.003115264797507788,100,100
528,0.06,0.029,528,0.010033444816053512,100,100
529,0.06,0.03,529,0.0016420361247947454,100,100
530,0.06,0.031,530,0.012903225806451613,100,100
531,0.06,0.032,531,0.009819967266775777,100,100
532,0.06,0.033,532,0.014331210191082803,100,100
533,0.06,0.034,533,0.009884678747940691,100,100
534,0.06,0.035,534,0.014331210191082803,100,100
535,0.06,0.036000000000000004,535,0.03,100,100
536,0.06,0.037,536,0.01487603305785124,100,100
537,0.06,0.038,537,0.009538950715421303,100,100
538,0.06,0.039,538,0.008319467554076539,100,100
539,0.06,0.04,539,0.01757188498402556,100,100
540,0.06,0.041,540,0.004885993485342019,100,100
541,0.06,0.042,541,0.01584507042253521,100,100
542,0.06,0.043000000000000003,542,0.006756756756756757,100,100
543,0.06,0.044,543,0.018433179723502304,100,100
544,0.06,0.045,544,0.008375209380234505,100,100
545,0.06,0.046,545,0.006389776357827476,100,100
546,0.06,0.047,546,0.010084033613445379,100,100
547,0.06,0.048,547,0.013953488372093023,100,100
548,0.06,0.049,548,0.008561643835616438,100,100
549,0.06,0.05,549,0.005084745762711864,100,100
550,0.06,0.051000000000000004,550,0.020477815699658702,100,100
551,0.06,0.052000000000000005,551,0.017684887459807074,100,100
552,0.06,0.053,552,0.0049586776859504135,100,100
553,0.06,0.054,553,0.025380710659898477,100,100
